"country";"indicator";"year";"value"
"ESP";306;1980;37493,4
"ESP";306;1985;38471,8
"ESP";306;1990;38883
"ESP";306;1995;39420,6
"ESP";306;2000;40282,8
"ESP";306;2005;43387,5
"ESP";306;2006;44038,5
"ESP";306;2007;44664,1
"ESP";306;2009;45754,3
"ESP";306;2010;46182
"ESP";306;2011;46514,1
"ESP";306;2012;46754,5
"ESP";306;2013;46927
"EST";306;1980;1474,5
"EST";306;1985;1522,5
"EST";306;1990;1565,3
"EST";306;1995;1433,1
"EST";306;2000;1366,1
"EST";306;2005;1325,1
"EST";306;2006;1318,9
"EST";306;2007;1313,1
"EST";306;2009;1303
"EST";306;2010;1298,5
"EST";306;2011;1294,5
"EST";306;2012;1290,8
"EST";306;2013;1287,3
"ETH";306;1980;35241,2
"ETH";306;1985;40777,2
"ETH";306;1990;48042,8
"ETH";306;1995;57023,5
"ETH";306;2000;66024,2
"ETH";306;2005;76167,2
"ETH";306;2006;78290,6
"ETH";306;2007;80440,7
"ETH";306;2009;84838
"ETH";306;2010;87095,3
"ETH";306;2011;89393,1
"ETH";306;2012;91728,8
"ETH";306;2013;94100,8
"FIN";306;1980;4779,5
"FIN";306;1985;4902,2
"FIN";306;1990;4986,7
"FIN";306;1995;5108,2
"FIN";306;2000;5176,5
"FIN";306;2005;5246,4
"FIN";306;2006;5267,8
"FIN";306;2007;5292,3
"FIN";306;2009;5343,9
"FIN";306;2010;5367,7
"FIN";306;2011;5389,1
"FIN";306;2012;5408,5
"FIN";306;2013;5426,3
"FJI";306;1980;635,3
"FJI";306;1985;711,7
"FJI";306;1990;728,3
"FJI";306;1995;775,6
"FJI";306;2000;811,6
"FJI";306;2005;822,5
"FJI";306;2006;828,1
"FJI";306;2007;835,4
"FJI";306;2009;852,5
"FJI";306;2010;860,6
"FJI";306;2011;867,9
"FJI";306;2012;874,7
"FJI";306;2013;881,1
"FRA";306;1980;53941,3
"FRA";306;1985;55414,4
"FRA";306;1990;56845,7
"FRA";306;1995;58009
"FRA";306;2000;59213,1
"FRA";306;2005;61445
"FRA";306;2006;61845,2
"FRA";306;2007;62210,9
"FRA";306;2009;62888,3
"FRA";306;2010;63230,9
"FRA";306;2011;63582,1
"FRA";306;2012;63936,6
"FRA";306;2013;64291,3
"FSM";306;1980;73
"FSM";306;1985;85,7
"FSM";306;1990;96,3
"FSM";306;1995;107,6
"FSM";306;2000;107,4
"FSM";306;2005;106,2
"FSM";306;2006;105,7
"FSM";306;2007;105,1
"FSM";306;2009;104
"FSM";306;2010;103,6
"FSM";306;2011;103,4
"FSM";306;2012;103,4
"FSM";306;2013;103,5
"GAB";306;1980;726,5
"GAB";306;1985;826
"GAB";306;1990;946,7
"GAB";306;1995;1080,5
"GAB";306;2000;1225,5
"GAB";306;2005;1379,5
"GAB";306;2006;1412,9
"GAB";306;2007;1447,4
"GAB";306;2009;1519,2
"GAB";306;2010;1556,2
"GAB";306;2011;1594
"GAB";306;2012;1632,6
"GAB";306;2013;1671,7
"GBR";306;1980;56302,9
"GBR";306;1985;56516,9
"GBR";306;1990;57214,5
"GBR";306;1995;57997,2
"GBR";306;2000;58951,4
"GBR";306;2005;60291,4
"GBR";306;2006;60620,9
"GBR";306;2007;60970,4
"GBR";306;2009;61700,8
"GBR";306;2010;62066,4
"GBR";306;2011;62426,9
"GBR";306;2012;62783,1
"GBR";306;2013;63136,3
"GEO";306;1980;5073,2
"GEO";306;1985;5287,3
"GEO";306;1990;5460,3
"GEO";306;1995;5067,1
"GEO";306;2000;4743,6
"GEO";306;2005;4475,3
"GEO";306;2006;4446
"GEO";306;2007;4426,1
"GEO";306;2009;4401,1
"GEO";306;2010;4388,7
"GEO";306;2011;4374,2
"GEO";306;2012;4358,2
"GEO";306;2013;4340,9
"GHA";306;1980;10802,5
"GHA";306;1985;12716,9
"GHA";306;1990;14628,7
"GHA";306;1995;16760,9
"GHA";306;2000;18825
"GHA";306;2005;21384
"GHA";306;2006;21947,8
"GHA";306;2007;22525,7
"GHA";306;2009;23691,5
"GHA";306;2010;24262,9
"GHA";306;2011;24820,7
"GHA";306;2012;25366,5
"GHA";306;2013;25904,6
"GIN";306;1980;4495,5
"GIN";306;1985;5067
"GIN";306;1990;6020,1
"GIN";306;1995;7837,2
"GIN";306;2000;8746,1
"GIN";306;2005;9576,3
"GIN";306;2006;9799
"GIN";306;2007;10047
"GIN";306;2009;10593,2
"GIN";306;2010;10876
"GIN";306;2011;11161,5
"GIN";306;2012;11451,3
"GIN";306;2013;11745,2
"GMB";306;1980;604,4
"GMB";306;1985;732,1
"GMB";306;1990;916,8
"GMB";306;1995;1065,7
"GMB";306;2000;1228,9
"GMB";306;2005;1436,5
"GMB";306;2006;1482,3
"GMB";306;2007;1529,4
"GMB";306;2009;1628,3
"GMB";306;2010;1680,6
"GMB";306;2011;1735
"GMB";306;2012;1791,2
"GMB";306;2013;1849,3
"GNB";306;1980;818,3
"GNB";306;1985;910,3
"GNB";306;1990;1017,4
"GNB";306;1995;1139,7
"GNB";306;2000;1273,3
"GNB";306;2005;1421,5
"GNB";306;2006;1452,7
"GNB";306;2007;1484,3
"GNB";306;2009;1550,9
"GNB";306;2010;1586,6
"GNB";306;2011;1624,2
"GNB";306;2012;1663,6
"GNB";306;2013;1704,3
"GNQ";306;1980;220,6
"GNQ";306;1985;312,8
"GNQ";306;1990;373,9
"GNQ";306;1995;441,8
"GNQ";306;2000;518,2
"GNQ";306;2005;603,6
"GNQ";306;2006;621,5
"GNQ";306;2007;639,6
"GNQ";306;2009;676,9
"GNQ";306;2010;696,2
"GNQ";306;2011;716
"GNQ";306;2012;736,3
"GNQ";306;2013;757
"GRC";306;1980;9642,5
"GRC";306;1985;9934,3
"GRC";306;1990;10160,5
"GRC";306;1995;10671,8
"GRC";306;2000;10986,9
"GRC";306;2005;11041,6
"GRC";306;2006;11052,5
"GRC";306;2007;11066,9
"GRC";306;2009;11098,1
"GRC";306;2010;11110
"GRC";306;2011;11118,6
"GRC";306;2012;11124,6
"GRC";306;2013;11128
"GRD";306;1980;89
"GRD";306;1985;99,9
"GRD";306;1990;96,3
"GRD";306;1995;100,3
"GRD";306;2000;101,6
"GRD";306;2005;103
"GRD";306;2006;103,3
"GRD";306;2007;103,6
"GRD";306;2009;104,3
"GRD";306;2010;104,7
"GRD";306;2011;105,1
"GRD";306;2012;105,5
"GRD";306;2013;105,9
"GTM";306;1980;7001,1
"GTM";306;1985;7919,9
"GTM";306;1990;8890,3
"GTM";306;1995;9983,9
"GTM";306;2000;11204,2
"GTM";306;2005;12678,9
"GTM";306;2006;12995,4
"GTM";306;2007;13317,9
"GTM";306;2009;13989
"GTM";306;2010;14341,6
"GTM";306;2011;14706,6
"GTM";306;2012;15082,8
"GTM";306;2013;15468,2
"GUY";306;1980;776,9
"GUY";306;1985;751,7
"GUY";306;1990;725
"GUY";306;1995;728,1
"GUY";306;2000;744,5
"GUY";306;2005;760,8
"GUY";306;2006;765,4
"GUY";306;2007;770,4
"GUY";306;2009;781,1
"GUY";306;2010;786,1
"GUY";306;2011;790,9
"GUY";306;2012;795,4
"GUY";306;2013;799,6
"HKG";306;1980;5053,7
"HKG";306;1985;5414,8
"HKG";306;1990;5794
"HKG";306;1995;6144,5
"HKG";306;2000;6835,3
"HKG";306;2005;6896,7
"HKG";306;2006;6910,7
"HKG";306;2007;6934,7
"HKG";306;2009;7006,9
"HKG";306;2010;7049,5
"HKG";306;2011;7096,4
"HKG";306;2012;7148,5
"HKG";306;2013;7203,8
"HND";306;1980;3635,9
"HND";306;1985;4237,5
"HND";306;1990;4903,7
"HND";306;1995;5591,9
"HND";306;2000;6235,6
"HND";306;2005;6898,8
"HND";306;2006;7037,4
"HND";306;2007;7178,4
"HND";306;2009;7469,8
